rok;miesiac;dzien;zmienna;kaliski miasto Kalisz (WP);kamiennogórski miasto Kamienna Góra (DŒ);kamieñski miasto Kamieñ Pomorski (ZP);kartuski miasto Kartuzy (PM);kazimierski miasto Kazimierza Wielka (ŒK);kêdzierzyñsko-kozielski miasto Kêdzierzyn-KoŸle (OP);kêpiñski miasto Kêpno (WP);kêtrzyñski miasto Kêtrzyn (WM);kielecki miasto Kielce (ŒK);kluczborski miasto Kluczbork (OP);k³obucki miasto K³obuck (ŒL);k³odzki miasto K³odzko (DŒ);kolbuszowski miasto Kolbuszowa (PK);kolneñski miasto Kolno (PL);kolski miasto Ko³o (WP);ko³obrzeski miasto Ko³obrzeg (ZP);konecki miasto Koñskie (ŒK);koniñski miasto Konin (WP);koszaliñski miasto Koszalin (ZP);koœciañski miasto Koœcian (WP);koœcierski miasto Koœcierzyna (PM);kozienicki miasto Kozienice (MZ);krakowski miasto Kraków (MP);krapkowicki miasto Krapkowice (OP);krasnostawski miasto Krasnystaw (LB);kraœnicki miasto Kraœnik (LB);kroœnieñski miasto Krosno (PK);kroœnieñski miasto Krosno Odrzañskie (LS);krotoszyñski miasto Krotoszyn (WP);kutnowski miasto Kutno (£D);kwidzyñski miasto Kwidzyn (PM)
2008;0;26;Zamówienia pó³produktów w kg;5913.705091793547;3549.5142447595094;7444.945943095633;3183.654811758466;7004.935994910849;4874.143542643012;2913.664281741726;7521.3826169993345;9538.698678610315;1395.9334256437273;2363.6796079596934;7924.141465296019;2520.3131695422962;629.0548582310396;8610.894350885519;1278.5874080950898;9280.762541976079;5538.590007284149;4802.983606331703;2142.574371585123;3983.2389065239813;1360.2014740397783;709.9204945483195;3867.424158766554;4347.50229613143;2892.7544981540755;9441.449631431104;7543.158202059376;2567.4573233845176;6712.445388489194;9970.2364100062
2009;5;4;Koszty w z³;4869.712239609846;3818.6803278679927;826.2049929116255;9056.034930677219;2307.811830675014;8265.169177492775;9239.637587068637;3417.2742597001948;1717.0295383151679;2151.7615471824424;9519.716684301417;9811.885329813744;6867.791301591613;5679.498779670509;59.583912986920225;9140.75037753055;8250.077562573782;80.69212038191553;6470.867686499239;2677.7089144145016;6357.600584289486;4325.322403464299;3518.4351680506543;2557.491214881702;1408.6439925279403;5533.468978193106;3614.6393508899246;3320.296538538211;9019.249992578872;2397.045776590494;5124.100422943555
2009;2;8;Zamówienia pó³produktów w kg;5316.258107584306;4297.9690354851755;5896.421194041297;8675.5876178199;1807.8404835258666;421.8547103071457;8564.135470748413;4128.749122976143;346.653874403926;3001.8909197715648;8141.669032885667;6889.666947823593;9603.524164252574;3404.4683743086766;335.5970648111062;5970.156057549348;9509.446871938517;6563.017399962183;4570.241852829846;1829.6461901478267;1385.1873307448259;8236.658834803295;5169.065585989298;6662.440989595604;361.3103062974432;6264.989406729871;2232.6516665530203;6093.372568844729;1172.9296639272957;5450.654299048864;568.0719104465115
2008;10;22;Zamówienia pó³produktów w kg;4689.322829732407;12.09602819566058;7763.16025927407;7282.978823484724;9569.2721637558;6516.843079974598;5873.958172357771;7996.300470691033;4804.098416012227;3563.4369677277355;6829.8421035586325;3126.276104420339;1348.4426003505755;397.33698638537487;1482.497495565721;2219.421860024625;8533.63257170632;6831.27519955634;5883.985732752427;2709.519216229259;8358.439748790526;7492.109974939876;3527.3547404752726;522.563138876686;2050.77619721598;8114.695228762126;2880.1914041881296;6367.182382813322;8413.571885723788;6679.698113186871;4045.647641721355
2009;0;24;Produkcja w szt.;5742.128416914946;9489.182802716372;7829.809813945369;1004.1175479522701;4026.529658871385;3235.3752380340616;3488.833883138944;3351.0880893678927;3328.562937613214;1395.9110341569835;7582.0452496725275;9496.872767954314;3202.2913470759963;3310.3865534709785;2185.981721922605;3626.172772576117;301.4416538646469;5541.859950680254;5117.725055980196;6031.806156639862;3064.388296736412;4236.827770631352;1148.7829390420611;4985.950992383744;451.27316365536575;6421.140761852214;7493.425585442917;31.60962943093093;5570.963532929835;2722.3961385265784;859.3792722128812
2010;3;15;Zamówienia pó³produktów w kg;6410.840152041281;2061.164805717567;7742.49275562979;6.839733238548362;9344.081452106095;8035.4172188584525;6509.50271483773;9191.759393151387;4351.579702180892;7514.418428947583;6154.77137720163;5171.135897668002;2120.543728164277;5732.000815844845;2155.3980244064887;5805.1018430132735;6896.777718215754;309.9369966282306;548.492482235764;4800.322956121208;2822.4618657083365;5816.795331320508;6656.331113268104;8625.444552486088;2976.9216092200036;1794.0219889729935;3968.87861375627;2806.392132500277;5728.846408730449;5793.74238795681;9261.861740980448
2010;0;31;Produkcja w szt.;1543.965834580291;8690.92582920168;8506.522938831271;7486.010917237085;9499.397441983287;1404.0486387716232;5191.7656994327135;2182.083923379866;3336.8700217007176;9493.638738278956;1289.2917687680538;3445.4742964479146;6184.240510899187;4785.2977930114075;724.7802870985831;3701.0040763579577;6341.618946928065;4934.725221916068;1257.6370643679613;7469.672930197261;5981.137887614501;190.49398794638407;4149.473542722967;9740.896358797929;36.1698724737558;5034.152821067427;1914.0318091423514;1397.5176413797253;734.4002591489274;691.6159333723592;8045.345472985895
2008;7;28;Produkcja w szt.;7719.693540663265;7830.2094990508585;186.49447321987367;4958.176498829593;9285.610534428608;5660.575087168554;7035.366886280721;7875.272515452807;1687.016176670193;9206.48426446811;236.80496569303378;2030.778510888971;3097.584800317361;5977.9379613540095;2452.4071564999817;85.3530526836166;5251.512384502;1786.254791170746;8087.204284333067;7647.423003311511;9102.735949713457;1938.5714113487184;1007.2383237999671;9992.266421842041;5555.839478382323;8480.059565127915;9420.653219344313;9548.811849232168;2163.730949234983;8873.566498523203;1498.0489380328165
2007;6;18;Koszty w z³;8066.403548257319;5782.094250790341;8460.904014722113;1453.916235828696;3990.0593160282783;6975.485895903656;4252.139881308011;3425.590122949469;3962.8011558433864;109.31194518907562;1693.0105228657467;6502.035792761236;4606.756923204904;4556.960816496869;386.71312314701555;2838.8899658348255;9622.233275788853;3722.796640104347;4265.0448721321045;6932.754020821165;6593.477171350154;9270.64741115232;2382.092014035868;7676.299032951201;5722.394986651109;3359.121754283657;7910.442576822607;140.3271615569146;893.3648351620338;3244.414030625309;6490.130445683624
2007;9;30;Sprzeda¿ w z³;686.944360577294;3843.221937479706;3299.5355119412507;5269.370037737256;2973.5359077285075;5944.861258881688;4193.214162580317;9480.217826477196;6187.154738397683;2910.324586095936;2400.6217583157086;3025.1844087601153;2406.1305020179357;5210.940301602306;5866.382080262783;1525.0216389218274;2621.9136153677614;5828.395533474106;2153.8670678502413;3293.644214087029;1806.4997899648827;9314.377549075249;1762.0413312167093;3105.0558868185985;7141.063847349302;5477.564828719532;3334.7498258491983;9320.076686873641;122.66470701731036;8124.302540347393;6933.407696135583
